sample_name	region	bin_num	C_number	T_number	Methylation_level
D1-2	Body	1	5142418	4503796	0.533102209841084
D1-2	Body	10	4881769	2805997	0.63500488958691
D1-2	Body	11	4962367	2822009	0.637477814535166
D1-2	Body	12	4909355	2736394	0.642102559212969
D1-2	Body	13	4855326	2747716	0.638603074927115
D1-2	Body	14	4931495	2768582	0.64044749162898
D1-2	Body	15	4952136	2802170	0.638630458999168
D1-2	Body	16	4966521	2726746	0.64556722131183
D1-2	Body	17	4905026	2712359	0.643925179047665
D1-2	Body	18	4930053	2672612	0.648463795261267
D1-2	Body	19	4942547	2704755	0.646312516492745
D1-2	Body	2	5246837	3662845	0.588891612517708
D1-2	Body	20	4858530	2690165	0.643625156401206
D1-2	Body	21	4941319	2703852	0.646332044109935
D1-2	Body	22	4950747	2700483	0.647052434706577
D1-2	Body	23	4842014	2689027	0.642940863022788
D1-2	Body	24	4882468	2650156	0.64817625305604
D1-2	Body	25	4965208	2681978	0.649285632649709
D1-2	Body	26	4964317	2665098	0.65068121212439
D1-2	Body	27	4856364	2674143	0.64489203714969
D1-2	Body	28	4881520	2586944	0.653617664890666
D1-2	Body	29	4921167	2669461	0.648321456406506
D1-2	Body	3	5103971	3310543	0.606567533193242
D1-2	Body	30	4884336	2704461	0.643624542862327
D1-2	Body	31	4933545	2732596	0.643549994710507
D1-2	Body	32	4943114	2702590	0.646521759147359
D1-2	Body	33	4879782	2687209	0.644877468467982
D1-2	Body	34	4942004	2720730	0.644940043592796
D1-2	Body	35	4929583	2619075	0.653040977614829
D1-2	Body	36	4919640	2651983	0.649747088570046
D1-2	Body	37	4845279	2682492	0.64365387841899
D1-2	Body	38	4883986	2669233	0.646609875868818
D1-2	Body	39	4932148	2681640	0.647791611744377
D1-2	Body	4	5056238	3119276	0.618461175652075
D1-2	Body	40	4922616	2683935	0.647154801170728
D1-2	Body	41	4954368	2710514	0.646372377291653
D1-2	Body	42	4920818	2712265	0.644669788079076
D1-2	Body	43	4923908	2747306	0.641868158025575
D1-2	Body	44	4880110	2733046	0.641010114596364
D1-2	Body	45	4954710	2742389	0.643711351510485
D1-2	Body	46	4923119	2732449	0.643076908205897
D1-2	Body	47	4882484	2775996	0.637526506565271
D1-2	Body	48	4989959	2759710	0.643893177889275
D1-2	Body	49	4897527	2784532	0.637527907557076
D1-2	Body	5	4944650	3064533	0.617372583445777
D1-2	Body	50	4917779	2800751	0.637139325752442
D1-2	Body	51	4963247	2818424	0.63781249554241
D1-2	Body	52	5102742	2844915	0.642043560762625
D1-2	Body	53	4994123	2874003	0.634728396571178
D1-2	Body	54	5010729	2886013	0.63453117754132
D1-2	Body	55	5003392	2909622	0.632299146696821
D1-2	Body	56	5010583	2965968	0.628164102504955
D1-2	Body	57	5150705	3088399	0.625153536112665
D1-2	Body	58	5187974	3228687	0.616393365492563
D1-2	Body	59	5362442	3673163	0.593479019943878
D1-2	Body	6	5012176	2988778	0.626447296159933
D1-2	Body	60	5168883	4449423	0.537400556813227
D1-2	Body	7	5027639	2946625	0.630483139258996
D1-2	Body	8	4940985	2890984	0.630873921998414
D1-2	Body	9	4873255	2784217	0.636405200045132
D1-2	Downstream	61	580150	637675	0.476382074600209
D1-2	Downstream	62	513169	657377	0.438401395588042
D1-2	Downstream	63	489555	646686	0.430854897860577
D1-2	Downstream	64	483881	661636	0.422412762097813
D1-2	Downstream	65	511835	637035	0.445511676691009
D1-2	Downstream	66	519871	634724	0.450262646209277
D1-2	Downstream	67	544232	612995	0.47028975300438
D1-2	Downstream	68	556842	599073	0.481732653352539
D1-2	Downstream	69	594239	573994	0.508664795464603
D1-2	Downstream	70	601128	564548	0.515690466304531
D1-2	Downstream	71	592400	531977	0.526869546424375
D1-2	Downstream	72	622059	528962	0.540441051900878
D1-2	Downstream	73	627125	523055	0.545240744926881
D1-2	Downstream	74	614534	516184	0.543490065604333
D1-2	Downstream	75	623112	502012	0.553816290471095
D1-2	Downstream	76	636574	492469	0.563817321395199
D1-2	Downstream	77	623362	485496	0.562165759727576
D1-2	Downstream	78	641044	484338	0.56962347007505
D1-2	Downstream	79	662453	497481	0.571112666755177
D1-2	Downstream	80	649423	485103	0.57241790844811
D1-2	Upstream	-1	496740	636647	0.438279246188636
D1-2	Upstream	-10	610463	537750	0.531663550229792
D1-2	Upstream	-11	600534	531915	0.5302967285944
D1-2	Upstream	-12	621304	518597	0.545050842134536
D1-2	Upstream	-13	627895	511500	0.551077545539519
D1-2	Upstream	-14	636999	497241	0.561608654253068
D1-2	Upstream	-15	646278	496301	0.565630910422824
D1-2	Upstream	-16	645816	505503	0.560935761504848
D1-2	Upstream	-17	634079	500752	0.558743108004628
D1-2	Upstream	-18	638897	504018	0.559006575292126
D1-2	Upstream	-19	654689	500670	0.566654174157123
D1-2	Upstream	-2	487488	627455	0.437231320345524
D1-2	Upstream	-3	495615	638545	0.436988608309233
D1-2	Upstream	-4	517176	625513	0.452595588125903
D1-2	Upstream	-5	529528	609566	0.464867693096443
D1-2	Upstream	-6	560699	610607	0.4786955757078
D1-2	Upstream	-7	550987	586941	0.484201988174999
D1-2	Upstream	-8	584920	566479	0.508008084078586
D1-2	Upstream	-9	585377	546390	0.517223951573071
D1-2	Upstream	0	549410	620467	0.469630567999884
D1-4	Body	1	3876100	2909696	0.571207858296949
D1-4	Body	10	3741728	2067813	0.644066028624292
D1-4	Body	11	3790971	2064938	0.647375326358384
D1-4	Body	12	3761285	1999227	0.652942828693005
D1-4	Body	13	3727130	2041218	0.646134733896083
D1-4	Body	14	3757065	2021793	0.650139698881682
D1-4	Body	15	3795073	2091419	0.644708767123102
D1-4	Body	16	3807114	2018619	0.653499568208842
D1-4	Body	17	3750316	1997510	0.652475562064683
D1-4	Body	18	3767349	1969388	0.656705893960277
D1-4	Body	19	3789999	2001543	0.654402402676178
D1-4	Body	2	3930660	2534452	0.607980186576814
D1-4	Body	20	3747169	1984100	0.653811398487839
D1-4	Body	21	3804641	2008023	0.654543424495206
D1-4	Body	22	3822344	1999301	0.656574559252582
D1-4	Body	23	3735061	1963434	0.655446920634308
D1-4	Body	24	3769602	1968291	0.656966241789451
D1-4	Body	25	3839426	1994023	0.658174263630315
D1-4	Body	26	3850081	1960829	0.662560769311519
D1-4	Body	27	3737621	1977072	0.654037058508655
D1-4	Body	28	3752805	1925658	0.660883939897117
D1-4	Body	29	3778805	1984760	0.655636745660021
D1-4	Body	3	3864865	2352123	0.621661968786171
D1-4	Body	30	3773300	2004506	0.65306796386033
D1-4	Body	31	3789037	2025984	0.651594723389649
D1-4	Body	32	3808814	2020313	0.653410707984232
D1-4	Body	33	3747561	1987133	0.653489270744001
D1-4	Body	34	3799752	1995820	0.655630194914324
D1-4	Body	35	3779240	1946042	0.660096742832929
D1-4	Body	36	3776818	1957024	0.658688886090688
D1-4	Body	37	3708069	1968011	0.653279904441093
D1-4	Body	38	3736549	1982912	0.653304393543378
D1-4	Body	39	3770882	1974701	0.656309725227188
D1-4	Body	4	3822883	2241493	0.630383571203369
D1-4	Body	40	3797585	1988809	0.656295613468423
D1-4	Body	41	3806006	1985877	0.657127569738546
D1-4	Body	42	3777308	1995072	0.654376184520077
D1-4	Body	43	3796595	2032208	0.651350714717927
D1-4	Body	44	3719628	1997990	0.65055552854353
D1-4	Body	45	3799553	2021025	0.652779328788309
D1-4	Body	46	3763436	2010977	0.651743475916946
D1-4	Body	47	3768925	2046182	0.648126509108087
D1-4	Body	48	3805429	2013556	0.653967831159558
D1-4	Body	49	3744575	2061493	0.644941636921924
D1-4	Body	5	3756935	2220581	0.628511073830668
D1-4	Body	50	3751795	2030906	0.648796297785412
D1-4	Body	51	3812062	2080782	0.646896812472891
D1-4	Body	52	3873302	2062891	0.652489230050303
D1-4	Body	53	3794080	2078574	0.646058834727876
D1-4	Body	54	3826047	2074415	0.648431766868425
D1-4	Body	55	3797483	2118416	0.64191139841975
D1-4	Body	56	3788343	2140827	0.638933105308163
D1-4	Body	57	3908355	2188835	0.641009219000884
D1-4	Body	58	3927126	2275018	0.633188458700733
D1-4	Body	59	4027548	2504301	0.616601516660903
D1-4	Body	6	3813758	2178369	0.636461476867897
D1-4	Body	60	3946135	2929227	0.573953051490234
D1-4	Body	7	3834036	2161536	0.63947793471582
D1-4	Body	8	3776887	2109089	0.641675569183428
D1-4	Body	9	3742835	2028760	0.648492314516178
D1-4	Downstream	61	426587	390923	0.521812577216181
D1-4	Downstream	62	382378	392448	0.493501766848299
D1-4	Downstream	63	356367	398333	0.472196899430237
D1-4	Downstream	64	344619	409647	0.456893191526597
D1-4	Downstream	65	360876	397045	0.476139333782808
D1-4	Downstream	66	373611	404475	0.480166716789661
D1-4	Downstream	67	395111	388022	0.504526051130523
D1-4	Downstream	68	395501	380942	0.509375446748828
D1-4	Downstream	69	419937	361366	0.537482897160257
D1-4	Downstream	70	426949	354056	0.546666154506053
D1-4	Downstream	71	426888	342219	0.555043706532381
D1-4	Downstream	72	445224	340118	0.566917343017437
D1-4	Downstream	73	453879	332082	0.57748285220259
D1-4	Downstream	74	447089	330563	0.574921687335723
D1-4	Downstream	75	453592	323653	0.58358947307477
D1-4	Downstream	76	455911	321569	0.586395791531615
D1-4	Downstream	77	446845	313914	0.587367352867334
D1-4	Downstream	78	462581	321598	0.589892103716116
D1-4	Downstream	79	481076	330611	0.592686589781529
D1-4	Downstream	80	474595	323165	0.594909496590453
D1-4	Upstream	-1	366406	381539	0.48988361443689
D1-4	Upstream	-10	429351	345913	0.553812636727618
D1-4	Upstream	-11	428953	331800	0.56385318230753
D1-4	Upstream	-12	445376	331500	0.573290975651198
D1-4	Upstream	-13	446030	328752	0.575684515128126
D1-4	Upstream	-14	463044	328072	0.585304809914096
D1-4	Upstream	-15	467023	325975	0.588933389491525
D1-4	Upstream	-16	458569	331325	0.58054498451691
D1-4	Upstream	-17	460159	321591	0.588626798848737
D1-4	Upstream	-18	461415	327983	0.584515035508071
D1-4	Upstream	-19	474992	335380	0.586140686005933
D1-4	Upstream	-2	353526	385088	0.478634306958709
D1-4	Upstream	-3	361365	388630	0.481823212154748
D1-4	Upstream	-4	366196	386992	0.48619468180587
D1-4	Upstream	-5	379739	375890	0.502546884780759
D1-4	Upstream	-6	396587	389323	0.504621394307236
D1-4	Upstream	-7	400773	377153	0.515181392574615
D1-4	Upstream	-8	415935	358074	0.537377472354973
D1-4	Upstream	-9	415110	348477	0.543631570469377
D1-4	Upstream	0	416004	372321	0.527706212539245
D1-5	Body	1	4331285	3605599	0.545716051790602
D1-5	Body	10	4198043	2476398	0.628972973167341
D1-5	Body	11	4287173	2473879	0.634098510113515
D1-5	Body	12	4224884	2384772	0.639198772220521
D1-5	Body	13	4171982	2427050	0.632211209159162
D1-5	Body	14	4217726	2423486	0.635083776876871
D1-5	Body	15	4231442	2469497	0.631470007412394
D1-5	Body	16	4265308	2394077	0.640495781517362
D1-5	Body	17	4200152	2390043	0.637333493166742
D1-5	Body	18	4245820	2368098	0.641952319336284
D1-5	Body	19	4234812	2373222	0.640858082751996
D1-5	Body	2	4461605	3100109	0.590025621175305
D1-5	Body	20	4185191	2372406	0.638220219998271
D1-5	Body	21	4254169	2393571	0.639942145751789
D1-5	Body	22	4289775	2383688	0.642810936390896
D1-5	Body	23	4205332	2365360	0.640013563259395
D1-5	Body	24	4221985	2338866	0.643511794430326
D1-5	Body	25	4278149	2347505	0.645694598601134
D1-5	Body	26	4309992	2346749	0.647462774952488
D1-5	Body	27	4182583	2345200	0.640735606560451
D1-5	Body	28	4194348	2289091	0.646932592409676
D1-5	Body	29	4240001	2363283	0.642104898108275
D1-5	Body	3	4363615	2845181	0.605318141892211
D1-5	Body	30	4240703	2373643	0.64113715853389
D1-5	Body	31	4254257	2412741	0.638106836090246
D1-5	Body	32	4244761	2386313	0.640131749396855
D1-5	Body	33	4230892	2378415	0.640141545853446
D1-5	Body	34	4267537	2400155	0.640032113061011
D1-5	Body	35	4259990	2336330	0.64581312004269
D1-5	Body	36	4237299	2335040	0.644717048222862
D1-5	Body	37	4159779	2342955	0.639696933628225
